"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_0",7.89967141704978,0.0149419514172947,0.0843133412421005,7.71731812044251,7.84455158020556,7.91321848930734,7.95672221079822,8.04412545333304,31.8403593462664,1.09641549745172
"lambda_0",1.26362961934015,0.00946299549174926,0.0365023626568726,1.19014369290608,1.2394134477635,1.2636585449148,1.29162341030807,1.33160624164553,14.8793748447694,1.09762151943076
"alpha_1",-0.00470567100175032,9.84258699950943e-05,0.00101787936744532,-0.006722885427305,-0.00535700124659436,-0.0046698527172918,-0.00412872519180703,-0.00252680358055478,106.948352298963,1.03427511961548
"lambda_1",0.00821624968694202,0.000372565338418442,0.00134725030825087,0.00558384470243404,0.00744298351390943,0.00809527576487876,0.00892680588026203,0.0108458412994855,13.0765050988797,1.23272736407745
"beta_lmci",-0.699573682325101,0.0171771713125785,0.101372616008206,-0.87622994169699,-0.773048097393609,-0.721443059539255,-0.637019697126807,-0.466499353554912,34.828760104,1.07650825853013
"beta_ad",-1.50704074566383,0.0225291102785178,0.127990411184065,-1.71188844423843,-1.59337603419475,-1.54995010155938,-1.42104537645256,-1.22076866539072,32.2750398261648,1.09501305982064
"beta_lmci_t",-0.00692991351713731,0.000106979884173468,0.00135881123741266,-0.0100477912859736,-0.00769063250296584,-0.00670531553578969,-0.00617117813578599,-0.00439823354670952,161.329583641551,1.02607087480712
"beta_ad_t",-0.0141795406210494,0.000136579029658777,0.00199191447350984,-0.0180303786454645,-0.0151734749840069,-0.0145916697141957,-0.0130679940275942,-0.00967044118366939,212.702859638869,1.01934653229717
"sigma",0.0365256651411295,0.00791334101544224,0.0150985807101368,0.0146645547602623,0.0217791818742066,0.035753200054773,0.0463689670610233,0.0686321206035005,3.64042834093916,1.67507069141151
"tau[1]",1.52574999119822,0.00583611537168635,0.0273360281672943,1.47741972516629,1.50703081838187,1.52394445144203,1.54451122719859,1.58188327688253,21.9393162886363,1.18193176667953
"tau[2]",1.50539652130075,0.00305155602427169,0.02529692897623,1.45802575289413,1.48821033400671,1.50341064968268,1.52260731760912,1.5577957293487,68.7215438493635,1.05613462341195
"tau[3]",1.14223025898215,0.00602597620557127,0.0182398729755992,1.10563562588308,1.12911369912225,1.1418558865485,1.15742650243563,1.171192291329,9.16196849669476,1.15308924024036
"tau[4]",0.541901661618101,0.00171986798506975,0.0157943453920327,0.508717468976688,0.532905239835709,0.542488656835519,0.550818067370912,0.575120893588049,84.3360074766085,1.04295847994654
"tau[5]",0.558253749429244,0.00152792647497495,0.0169105189078785,0.524790184106378,0.548957317297511,0.556951365211446,0.566615364960744,0.596658930091474,122.492347120918,1.03912756172217
"tau[6]",1.09558682969109,0.00383835314691769,0.0203066228494548,1.05753063950349,1.07992710473908,1.09623157493368,1.10973910124148,1.13486060783466,27.9888817210116,1.12096984041053
"tau[7]",0.784179908398774,0.00234701654524648,0.0180015448446461,0.746324582385681,0.771577483577976,0.786862235810566,0.795852308594217,0.818456616440033,58.8284290368873,1.05208435731845
